filename,CU:,SR:,CS:,species
5702606N,959  B18:00  13:22.776,40000,1.793,Common Dolphin
5702606O,959  B18:00  13:26.171,40000,0.560,Common Dolphin
5702606P,959  B18:00  13:27.675,40000,1.785,Common Dolphin
5702606Q,959  B18:00  13:31.145,40000,1.360,Common Dolphin
5702606R,959  B18:00  13:32.834,40000,0.966,Common Dolphin
5702606S,959  B18:00  13:34.920,40000,1.295,Common Dolphin
5702606T,959  B18:00  13:36.145,40000,1.465,Common Dolphin
5702606U,959  B18:00  13:37.580,40000,0.280,Common Dolphin
5702606V,959  B18:00  13:40.415,40000,0.770,Common Dolphin
5702606W,959  B18:00  13:41.395,40000,0.940,Common Dolphin
5702606X,959  B18:00  13:42.953,40000,0.857,Common Dolphin
5702606Y,959  B18:00  13:46.720,40000,0.655,Common Dolphin
5702606Z,959  B18:00  13:47.299,40000,2.322,Common Dolphin
57026070,959  B18:00  13:49.543,40000,0.957,Common Dolphin
57026071,959  B18:00  13:50.656,40000,1.664,Common Dolphin
57026072,959  B18:00  13:52.330,40000,1.306,Common Dolphin
57026073,959  B18:00  13:53.442,40000,2.012,Common Dolphin
57026074,959  B18:00  13:56.616,40000,2.089,Common Dolphin
57026075,959  B18:00  14:01.414,40000,2.234,Common Dolphin
57026076,959  B18:00  14:07.374,40000,2.747,Common Dolphin
57026077,959  B18:00  14:10.793,40000,2.476,Common Dolphin
57026078,959  B18:00  14:14.008,40000,4.110,Common Dolphin
57026079,959  B18:00  14:18.540,40000,2.582,Common Dolphin
5702607A,959  B18:00  14:21.808,40000,3.267,Common Dolphin
5702607B,959  B18:00  14:24.864,40000,1.370,Common Dolphin
5702607C,959  B18:00  14:26.379,40000,2.911,Common Dolphin
5702607D,959  B18:00  14:29.225,40000,1.304,Common Dolphin
5702607E,959  B18:00  14:32.769,40000,2.345,Common Dolphin
5702607F,959  B18:00  14:35.022,40000,1.212,Common Dolphin
5702607G,959  B18:00  14:38.355,40000,2.582,Common Dolphin
5702607H,959  B18:00  14:44.258,40000,2.806,Common Dolphin
5702607I,959  B18:00  14:46.998,40000,1.159,Common Dolphin
5702607J,959  B18:00  14:48.157,40000,1.897,Common Dolphin
5702607K,959  B18:00  14:49.949,40000,2.213,Common Dolphin
5702607L,959  B18:00  14:52.479,40000,4.005,Common Dolphin
5702607M,959  B18:00  15:14.929,40000,1.581,Common Dolphin
5702607N,959  B18:00  15:22.939,40000,1.791,Common Dolphin
5702607O,959  B18:00  15:26.338,40000,1.554,Common Dolphin
57027001,1049  B4:22.987  0:03.975,60600,1.161,Common Dolphin
57027002,1049  B4:22.987  0:05.561,60600,0.598,Common Dolphin
57027003,1049  B4:22.987  0:09.806,60600,1.169,Common Dolphin
57027004,1049  B4:22.987  0:11.707,60600,0.904,Common Dolphin
57027005,1049  B4:22.987  0:14.824,60600,1.200,Common Dolphin
57027006,1049  B4:22.987  0:16.598,60600,0.652,Common Dolphin
57027007,1049  B4:22.987  0:17.235,60600,0.973,Common Dolphin
57027008,1049  B4:22.987  0:18.193,60600,1.254,Common Dolphin
57027009,1049  B4:22.987  0:20.346,60600,0.917,Common Dolphin
5702700A,1049  B4:22.987  0:22.035,60600,1.118,Common Dolphin
5702700B,1049  B4:22.987  0:23.482,60600,0.693,Common Dolphin
5702700C,1049  B4:22.987  0:24.188,60600,1.358,Common Dolphin
5702700D,1049  B4:22.987  0:26.203,60600,1.964,Common Dolphin
5702700E,1049  B4:22.987  0:28.969,60600,1.594,Common Dolphin
5702700F,1049  B4:22.987  0:30.676,60600,1.504,Common Dolphin
5702700G,1049  B4:22.987  0:32.447,60600,1.874,Common Dolphin
5702700H,1049  B4:22.987  0:34.609,60600,1.984,Common Dolphin
5702700I,1049  B4:22.987  0:38.537,60600,1.522,Common Dolphin
5702700J,1049  B4:22.987  0:39.979,60600,1.725,Common Dolphin
5702700K,1049  B4:22.987  0:41.614,60600,1.829,Common Dolphin
5702700L,1049  B4:22.987  0:43.425,60600,0.801,Common Dolphin
5702700M,1049  B4:22.987  0:44.231,60600,2.090,Common Dolphin
5702700N,1049  B4:22.987  0:46.249,60600,1.117,Common Dolphin
5702700O,1049  B4:22.987  0:49.238,60600,2.880,Common Dolphin
5702700P,1049  B4:22.987  0:52.080,60600,2.687,Common Dolphin
5702700Q,1049  B4:22.987  0:54.998,60600,1.784,Common Dolphin
5702700R,1049  B4:22.987  0:57.125,60600,1.618,Common Dolphin
5702700S,1049  B4:22.987  1:01.957,60600,2.055,Common Dolphin
5702700T,1049  B4:22.987  1:05.088,60600,2.599,Common Dolphin
5702700U,1049  B4:22.987  1:08.042,60600,1.494,Common Dolphin
5702700V,1049  B4:22.987  1:10.151,60600,1.246,Common Dolphin
5702700W,1049  B4:22.987  1:12.012,60600,1.305,Common Dolphin
5702700X,1049  B4:22.987  1:13.383,60600,1.140,Common Dolphin
5702700Y,1049  B4:22.987  1:17.181,60600,1.352,Common Dolphin
5702700Z,1049  B4:22.987  1:20.773,60600,1.435,Common Dolphin
57027011,1049  B4:22.987  1:22.805,60600,0.974,Common Dolphin
57027012,1049  B4:22.987  1:25.399,60600,1.051,Common Dolphin
57027013,1049  B4:22.987  1:26.503,60600,1.270,Common Dolphin
57027014,1049  B4:22.987  1:29.876,60600,1.134,Common Dolphin
57027015,1049  B4:22.987  1:31.672,60600,1.890,Common Dolphin
57027016,1049  B4:22.987  1:34.561,60600,1.222,Common Dolphin
57027017,1049  B4:22.987  1:36.741,60600,1.831,Common Dolphin
57027018,1049  B4:22.987  1:46.890,60600,1.134,Common Dolphin
57027019,1049  B4:22.987  1:52.479,60600,1.169,Common Dolphin
5702701A,1049  B4:22.987  1:58.894,60600,1.022,Common Dolphin
5702701B,1049  B4:22.987  2:03.337,60600,1.890,Common Dolphin
5702701C,1049  B4:22.987  2:13.823,60600,0.968,Common Dolphin
5702701D,1049  B4:22.987  2:33.223,60600,0.974,Common Dolphin
5702701E,1049  B4:22.987  2:48.386,60600,0.989,Common Dolphin
5702701F,1049  B4:22.987  2:48.394,60600,1.370,Common Dolphin
5702701G,1049  B4:22.987  2:55.985,60600,2.729,Common Dolphin
5702701H,1049  B4:22.987  3:01.343,60600,2.162,Common Dolphin
5702701I,1049  B4:22.987  3:03.695,60600,0.691,Common Dolphin
5702701J,1049  B4:22.987  3:06.467,60600,1.351,Common Dolphin
5702701K,1049  B4:22.987  3:14.895,60600,0.767,Common Dolphin
5702701L,1049  B4:22.987  3:17.601,60600,1.919,Common Dolphin
5702701M,1049  B4:22.987  3:19.657,60600,2.203,Common Dolphin
5702701N,1049  B4:22.987  3:22.138,60600,1.423,Common Dolphin
5702701O,1049  B4:22.987  3:24.342,60600,2.258,Common Dolphin
5702701P,1049  B4:22.987  3:27.015,60600,1.127,Common Dolphin
5702701Q,1049  B4:22.987  3:29.540,60600,1.406,Common Dolphin
5702701R,1049  B4:22.987  3:32.618,60600,1.565,Common Dolphin
5702701S,1049  B4:22.987  3:34.910,60600,0.957,Common Dolphin
5702701T,1049  B4:22.987  3:39.197,60600,0.995,Common Dolphin
5702701U,1049  B4:22.987  3:41.400,60600,2.041,Common Dolphin
5702701V,1049  B4:22.987  3:45.158,60600,1.913,Common Dolphin
5702701W,1049  B4:22.987  3:47.223,60600,1.039,Common Dolphin
5702701X,1049  B4:22.987  3:53.075,60600,0.734,Common Dolphin
5702701Y,1049  B4:22.987  3:58.704,60600,0.988,Common Dolphin
5702701Z,1049  B4:22.987  4:02.921,60600,1.666,Common Dolphin
57027020,1049  B4:22.987  4:03.987,60600,0.995,Common Dolphin
57027021,1049  B4:22.987  4:06.050,60600,0.939,Common Dolphin
57027022,1049  B4:22.987  4:11.248,60600,1.017,Common Dolphin
57027023,1049  B4:22.987  4:17.322,60600,0.678,Common Dolphin
58013001,0  B9:00  0:02.999,45400,2.819,Common Dolphin
58013002,0  B9:00  0:05.441,45400,3.658,Common Dolphin
58013003,0  B9:00  0:08.597,45400,6.208,Common Dolphin
58013004,0  B9:00  0:15.154,45400,2.323,Common Dolphin
58013005,0  B9:00  0:20.816,45400,5.281,Common Dolphin
58013006,0  B9:00  0:33.412,45400,5.285,Common Dolphin
58013007,0  B9:00  0:39.266,45400,2.230,Common Dolphin
58013008,0  B9:00  0:41.026,45400,2.805,Common Dolphin
58013009,0  B9:00  0:43.361,45400,2.979,Common Dolphin
5801300A,0  B9:00  0:45.591,45400,3.798,Common Dolphin
5801300B,0  B9:00  0:47.346,45400,2.000,Common Dolphin
5801300C,0  B9:00  0:50.135,45400,4.942,Common Dolphin
5801300D,0  B9:00  0:54.676,45400,6.527,Common Dolphin
5801300E,0  B9:00  1:00.591,45400,2.106,Common Dolphin
5801300F,0  B9:00  1:02.204,45400,2.472,Common Dolphin
5801300G,0  B9:00  1:04.159,45400,2.084,Common Dolphin
5801300H,0  B9:00  1:06.717,45400,1.904,Common Dolphin
5801300I,0  B9:00  1:08.127,45400,1.497,Common Dolphin
5801300J,0  B9:00  1:09.754,45400,1.518,Common Dolphin
5801300K,0  B9:00  1:10.844,45400,4.057,Common Dolphin
5801300L,0  B9:00  1:14.520,45400,2.747,Common Dolphin
5801300N,0  B9:00  1:17.341,45400,1.717,Common Dolphin
5801300O,0  B9:00  1:18.668,45400,3.945,Common Dolphin
5801300P,0  B9:00  1:22.348,45400,1.879,Common Dolphin
5801300Q,0  B9:00  1:25.981,45400,4.322,Common Dolphin
5801300R,0  B9:00  1:29.588,45400,3.198,Common Dolphin
5801300S,0  B9:00  1:33.727,45400,2.451,Common Dolphin
5801300T,0  B9:00  1:35.679,45400,3.310,Common Dolphin
5801300U,0  B9:00  1:39.427,45400,2.545,Common Dolphin
5801300V,0  B9:00  1:42.604,45400,2.663,Common Dolphin
5801300W,0  B9:00  1:46.133,45400,2.585,Common Dolphin
5801300X,0  B9:00  1:48.969,45400,4.997,Common Dolphin
5801300Y,0  B9:00  1:53.610,45400,3.630,Common Dolphin
5801300Z,0  B9:00  1:56.750,45400,3.000,Common Dolphin
58013010,0  B9:00  1:59.276,45400,5.598,Common Dolphin
58013011,0  B9:00  2:09.827,45400,3.201,Common Dolphin
58013012,0  B9:00  2:13.825,45400,4.816,Common Dolphin
58013013,0  B9:00  2:22.274,45400,1.609,Common Dolphin
58013014,0  B9:00  2:24.371,45400,6.724,Common Dolphin
58013015,0  B9:00  2:33.861,45400,2.203,Common Dolphin
58013016,0  B9:00  2:36.363,45400,2.455,Common Dolphin
58013017,0  B9:00  2:38.337,45400,2.845,Common Dolphin
58013018,0  B9:00  2:47.311,45400,1.650,Common Dolphin
58013019,0  B9:00  2:49.270,45400,5.893,Common Dolphin
5801301A,0  B9:00  2:55.100,45400,4.541,Common Dolphin
5801301B,0  B9:00  2:58.987,45400,5.365,Common Dolphin
5801301C,0  B9:00  3:08.568,45400,6.294,Common Dolphin
5801301D,0  B9:00  3:20.424,45400,4.257,Common Dolphin
5801301E,0  B9:00  3:24.246,45400,2.792,Common Dolphin
5801301F,0  B9:00  3:26.622,45400,4.237,Common Dolphin
5801301G,0  B9:00  3:31.176,45400,3.960,Common Dolphin
5801301H,0  B9:00  3:36.245,45400,4.415,Common Dolphin
5801301I,0  B9:00  3:42.899,45400,7.663,Common Dolphin
5801301J,0  B9:00  3:51.176,45400,2.554,Common Dolphin
5801301K,0  B9:00  3:53.235,45400,3.227,Common Dolphin
5801301L,0  B9:00  4:15.294,45400,3.346,Common Dolphin
5801301M,0  B9:00  4:17.988,45400,3.524,Common Dolphin
5801301N,0  B9:00  4:24.968,45400,3.051,Common Dolphin
5801301O,0  B9:00  4:41.861,45400,2.306,Common Dolphin
5801301P,0  B9:00  4:43.760,45400,1.551,Common Dolphin
5801301Q,0  B9:00  4:48.543,45400,3.833,Common Dolphin
5801301R,0  B9:00  4:54.211,45400,4.267,Common Dolphin
5801301S,0  B9:00  5:02.127,45400,2.513,Common Dolphin
5801301T,0  B9:00  5:06.660,45400,4.435,Common Dolphin
5801301U,0  B9:00  5:29.036,45400,3.227,Common Dolphin
5801301V,0  B9:00  5:36.720,45400,3.741,Common Dolphin
5801301W,0  B9:00  5:41.773,45400,2.144,Common Dolphin
5801301X,0  B9:00  5:43.595,45400,5.626,Common Dolphin
5801301Y,0  B9:00  5:48.700,45400,3.043,Common Dolphin
5801301Z,0  B9:00  5:52.501,45400,3.318,Common Dolphin
58013020,0  B9:00  5:56.341,45400,4.636,Common Dolphin
58013021,0  B9:00  6:01.148,45400,4.075,Common Dolphin
58013022,0  B9:00  6:04.910,45400,5.590,Common Dolphin
58013023,0  B9:00  6:10.187,45400,5.694,Common Dolphin
58013024,0  B9:00  6:15.673,45400,1.671,Common Dolphin
58013025,0  B9:00  6:16.953,45400,2.586,Common Dolphin
58013026,0  B9:00  6:21.081,45400,4.091,Common Dolphin
58013027,0  B9:00  6:34.985,45400,4.034,Common Dolphin
58013028,0  B9:00  6:38.470,45400,7.577,Common Dolphin
58013029,0  B9:00  6:45.441,45400,6.137,Common Dolphin
5801302A,0  B9:00  6:52.564,45400,4.962,Common Dolphin
5801302B,0  B9:00  6:56.655,45400,8.467,Common Dolphin
5801302C,0  B9:00  7:05.445,45400,5.380,Common Dolphin
5801302D,0  B9:00  7:18.135,45400,4.160,Common Dolphin
5801302E,0  B9:00  7:22.234,45400,1.891,Common Dolphin
5801302F,0  B9:00  7:23.884,45400,6.823,Common Dolphin
5801302G,12.512-16.084,192000,3.572,Common Dolphin
5801302H,16.282-19.197,192000,2.915,Common Dolphin
5801302I,21.124-23.682,192000,2.558,Common Dolphin
5801302J,24.371-25.539,192000,1.167,Common Dolphin
5801302K,32.954-34.268,192000,1.314,Common Dolphin
5801302L,35.014-35.680,192000,0.665,Common Dolphin
5801302M,40.919-41.683,192000,0.763,Common Dolphin
5801302N,44.273-45.766,192000,1.492,Common Dolphin
5801302O,1:18.613-1:21.593,192000,2.979,Common Dolphin
5801302P,1:22.141-1:25.937,192000,3.795,Common Dolphin
5801302Q,1:49.331-1:52.444,192000,3.113,Common Dolphin
5801302R,1:56.067-1:58.019,192000,1.952,Common Dolphin
5801302S,2:03.678-2:06.383,192000,2.704,Common Dolphin
5801302T,2:09.585-2:11.187,192000,1.601,Common Dolphin
5801302U,2:31.524-2:33.400,192000,1.875,Common Dolphin
5801302V,2:43.416-2:45.655,192000,2.239,Common Dolphin
5801302W,2:59.039-3:00.570,192000,1.531,Common Dolphin
5801302X,3:35.204-3:36.709,192000,1.505,Common Dolphin
5801302Y,11.839-4:00.586,192000,3:48.747,Common Dolphin
58014001,1063  B17:00.00  0:8.291,43900,1.835,Common Dolphin
58014002,1063  B17:00.00  0:10.126,43900,0.952,Common Dolphin
58014003,1063  B17:00.00  0:11.824,43900,0.516,Common Dolphin
58014004,1063  B17:00.00  0:13.224,43900,0.131,Common Dolphin
58014005,1063  B17:00.00  0:13.359,43900,0.141,Common Dolphin
58014006,1063  B17:00.00  0:13.507,43900,0.138,Common Dolphin
58014007,1063  B17:00.00  0:13.671,43900,0.140,Common Dolphin
58014008,1063  B17:00.00  0:16.265,43900,0.983,Common Dolphin
58014009,1063  B17:00.00  0:18.305,43900,1.314,Common Dolphin
5801400A,1063  B17:00.00  0:22.507,43900,0.949,Common Dolphin
5801400B,1063  B17:00.00  0:25.030,43900,1.328,Common Dolphin
5801400C,1063  B17:00.00  0:26.821,43900,1.007,Common Dolphin
5801400D,1063  B17:00.00  0:27.808,43900,0.979,Common Dolphin
5801400E,1063  B17:00.00  0:30.293,43900,1.228,Common Dolphin
5801400F,1063  B17:00.00  0:32.519,43900,0.874,Common Dolphin
5801400G,1063  B17:00.00  0:34.100,43900,0.716,Common Dolphin
5801400H,1063  B17:00.00  0:36.859,43900,1.600,Common Dolphin
5801400I,1063  B17:00.00  0:38.305,43900,2.287,Common Dolphin
5801400J,1063  B17:00.00  0:40.718,43900,1.086,Common Dolphin
5801400K,1063  B17:00.00  0:46.092,43900,4.066,Common Dolphin
5801400L,1063  B17:00.00  0:50.430,43900,1.590,Common Dolphin
5801400M,1063  B17:00.00  0:52.081,43900,2.067,Common Dolphin
5801400N,1063  B17:00.00  1:03.317,43900,1.939,Common Dolphin
5801400O,1063  B17:00.00  1:05.391,43900,2.632,Common Dolphin
5801400P,1063  B17:00.00  1:07.993,43900,1.556,Common Dolphin
5801400Q,1063  B17:00.00  1:13.572,43900,0.723,Common Dolphin
5801400R,1063  B17:00.00  1:14.246,43900,2.023,Common Dolphin
5801400S,1063  B17:00.00  1:16.504,43900,1.361,Common Dolphin
5801400T,1063  B17:00.00  1:17.874,43900,1.370,Common Dolphin
5801400U,1063  B17:00.00  1:20.544,43900,0.157,Common Dolphin
5801400V,1063  B17:00.00  1:22.171,43900,1.345,Common Dolphin
5801400W,1063  B17:00.00  1:27.820,43900,4.030,Common Dolphin
5801400X,1063  B17:00.00  1:34.753,43900,1.633,Common Dolphin
5801400Y,1063  B17:00.00  1:36.425,43900,1.620,Common Dolphin
5801400Z,1063  B17:00.00  1:38.012,43900,1.419,Common Dolphin
58014010,1063  B17:00.00  1:55.796,43900,1.530,Common Dolphin
58014011,1063  B17:00.00  2:08.799,43900,1.773,Common Dolphin
58014012,1063  B17:00.00  2:10.599,43900,1.383,Common Dolphin
58014013,1063  B17:00.00  2:13.431,43900,1.503,Common Dolphin
58014014,1063  B17:00.00  2:14.957,43900,0.608,Common Dolphin
58014015,1063  B17:00.00  2:15.542,43900,0.523,Common Dolphin
58014016,1063  B17:00.00  2:21.765,43900,1.841,Common Dolphin
58014017,1063  B17:00.00  2:23.557,43900,3.156,Common Dolphin
58014018,1063  B17:00.00  2:27.553,43900,1.837,Common Dolphin
58014019,1063  B17:00.00  2:29.313,43900,0.867,Common Dolphin
5801401A,1063  B17:00.00  2:31.776,43900,1.103,Common Dolphin
5801401B,1063  B17:00.00  2:34.516,43900,1.611,Common Dolphin
5801401C,1063  B17:00.00  2:49.570,43900,0.991,Common Dolphin
5801401D,1063  B17:00.00  2:50.814,43900,1.062,Common Dolphin
5801401E,1063  B17:00.00  2:53.093,43900,0.870,Common Dolphin
5801401F,1063  B17:00.00  2:53.905,43900,1.005,Common Dolphin
5801401G,1063  B17:00.00  2:55.801,43900,1.093,Common Dolphin
5801401H,1063  B17:00.00  2:56.894,43900,0.965,Common Dolphin
5801401I,1063  B17:00.00  3:08.602,43900,5.044,Common Dolphin
5801401J,1063  B17:00.00  3:16.008,43900,1.067,Common Dolphin
5801401K,1063  B17:00.00  3:16.977,43900,2.361,Common Dolphin
5801401L,1063  B17:00.00  3:20.460,43900,1.239,Common Dolphin
5801401M,1063  B17:00.00  3:26.846,43900,0.337,Common Dolphin
5801401N,1063  B17:00.00  3:42.486,43900,1.273,Common Dolphin
5801401O,1063  B17:00.00  3:45.812,43900,0.911,Common Dolphin
5801401P,1063  B17:00.00  3:46.700,43900,1.067,Common Dolphin
5801401Q,1063  B17:00.00  3:47.823,43900,2.037,Common Dolphin
5801401R,1063  B17:00.00  3:49.876,43900,1.234,Common Dolphin
5801401S,1063  B17:00.00  3:53.174,43900,1.435,Common Dolphin
5801401T,1063  B17:00.00  3:57.836,43900,0.965,Common Dolphin
5801401U,1063  B17:00.00  4:00.083,43900,1.188,Common Dolphin
5801401V,1063  B17:00.00  4:02.577,43900,0.972,Common Dolphin
5801401W,1063  B17:00.00  4:03.660,43900,0.826,Common Dolphin
5801401X,1063  B17:00.00  4:04.527,43900,1.135,Common Dolphin
5801401Y,1063  B17:00.00  4:06.309,43900,2.661,Common Dolphin
5801401Z,1063  B17:00.00  4:10.681,43900,1.393,Common Dolphin
58014020,1063  B17:00.00  4:14.642,43900,1.752,Common Dolphin
58014021,1063  B17:00.00  4:16.346,43900,1.170,Common Dolphin
58014022,1063  B17:00.00  4:17.483,43900,1.848,Common Dolphin
58014023,1063  B17:00.00  4:19.430,43900,1.881,Common Dolphin
58014024,1063  B17:00.00  4:24.381,43900,1.440,Common Dolphin
58014025,1063  B17:00.00  4:25.755,43900,1.658,Common Dolphin
58014026,1063  B17:00.00  4:27.352,43900,0.971,Common Dolphin
58014027,1063  B17:00.00  4:28.285,43900,2.397,Common Dolphin
58014028,1063  B17:00.00  4:31.128,43900,1.738,Common Dolphin
58014029,1063  B17:00.00  4:32.796,43900,1.757,Common Dolphin
5801402A,1063  B17:00.00  4:38.842,43900,0.421,Common Dolphin
5801402B,1063  B17:00.00  4:39.846,43900,1.871,Common Dolphin
5801402C,1063  B17:00.00  4:43.277,43900,1.345,Common Dolphin
5801402D,1063  B17:00.00  4:46.079,43900,0.169,Common Dolphin
5801402E,1063  B17:00.00  4:47.886,43900,0.951,Common Dolphin
5801402F,1063  B17:00.00  5:24.508,43900,3.079,Common Dolphin
5801402G,1063  B17:00.00  5:27.515,43900,0.823,Common Dolphin
5801402H,1063  B17:00.00  5:28.375,43900,1.405,Common Dolphin
5801402I,1063  B17:00.00  5:29.940,43900,1.637,Common Dolphin
5801402J,1063  B17:00.00  5:35.520,43900,0.844,Common Dolphin
5801402K,1063  B17:00.00  5:36.369,43900,1.976,Common Dolphin
5801402L,1063  B17:00.00  5:39.036,43900,1.456,Common Dolphin
5801402M,1063  B17:00.00  5:40.364,43900,0.848,Common Dolphin
5801402N,1063  B17:00.00  5:43.345,43900,0.805,Common Dolphin
5801402O,1063  B17:00.00  5:46.830,43900,1.812,Common Dolphin
5801402P,1063  B17:00.00  5:50.964,43900,2.244,Common Dolphin
5801402Q,1063  B17:00.00  5:55.149,43900,2.177,Common Dolphin
5801402R,1063  B17:00.00  6:05.861,43900,1.593,Common Dolphin
5801402S,1063  B17:00.00  6:16.871,43900,1.132,Common Dolphin
5801402T,1063  B17:00.00  6:18.633,43900,1.190,Common Dolphin
5801402U,1063  B17:00.00  6:19.721,43900,0.763,Common Dolphin
5801402V,1063  B17:00.00  6:22.160,43900,2.706,Common Dolphin
5801402W,1063  B17:00.00  6:26.829,43900,1.071,Common Dolphin
5801402X,1063  B17:00.00  6:42.724,43900,3.058,Common Dolphin
5801402Y,1063  B17:00.00  6:46.180,43900,1.714,Common Dolphin
5801402Z,1063  B17:00.00  6:47.856,43900,1.474,Common Dolphin
58014030,1063  B17:00.00  7:04.923,43900,2.520,Common Dolphin
58014031,1063  B17:00.00  7:07.301,43900,1.872,Common Dolphin
58014032,1063  B17:00.00  7:11.884,43900,2.113,Common Dolphin
58014033,1063  B17:00.00  7:16.198,43900,1.565,Common Dolphin
58014034,1063  B17:00.00  7:22.042,43900,1.623,Common Dolphin
58014035,1063  B17:00.00  7:24.568,43900,1.864,Common Dolphin
58014036,1063  B17:00.00  7:27.105,43900,1.766,Common Dolphin
58014037,1063  B17:00.00  7:28.825,43900,3.490,Common Dolphin
58014038,1063  B17:00.00  7:33.565,43900,1.168,Common Dolphin
58014039,1063  B17:00.00  7:41.041,43900,3.053,Common Dolphin
5801403A,1063  B17:00.00  7:46.111,43900,1.817,Common Dolphin
5801403B,1063  B17:00.00  7:47.853,43900,1.760,Common Dolphin
5801403C,1063  B17:00.00  7:49.621,43900,1.672,Common Dolphin
5801403D,1063  B17:00.00  9:07.142,43900,0.957,Common Dolphin
5801403E,1063  B17:00.00  9:09.092,43900,1.679,Common Dolphin
5801403F,1063  B17:00.00  9:13.694,43900,1.302,Common Dolphin
5801403G,1063  B17:00.00  9:17.338,43900,1.877,Common Dolphin
5801403H,1063  B17:00.00  9:25.436,43900,1.541,Common Dolphin
5801403I,1063  B17:00.00  9:26.803,43900,1.590,Common Dolphin
5801403J,1063  B17:00.00  9:29.139,43900,2.786,Common Dolphin
5801403K,1063  B17:00.00  9:31.890,43900,1.506,Common Dolphin
5801403L,1063  B17:00.00  9:33.658,43900,2.332,Common Dolphin
5801403M,1063  B17:00.00  9:35.901,43900,2.428,Common Dolphin
5801403N,1063  B17:00.00  9:43.642,43900,1.905,Common Dolphin
5801403O,1063  B17:00.00  9:48.401,43900,1.028,Common Dolphin
5801403P,1063  B17:00.00  9:50.146,43900,1.543,Common Dolphin
5801403Q,1063  B17:00.00  9:52.974,43900,1.463,Common Dolphin
5801403R,1063  B17:00.00  9:58.922,43900,1.983,Common Dolphin
5801403S,1063  B17:00.00  10:01.581,43900,1.353,Common Dolphin
5801403T,1063  B17:00.00  10:05.500,43900,1.749,Common Dolphin
5801403U,1063  B17:00.00  10:08.176,43900,1.259,Common Dolphin
5801403V,1063  B17:00.00  10:14.588,43900,1.469,Common Dolphin
5801403W,1063  B17:00.00  10:16.416,43900,2.029,Common Dolphin
5801403X,1063  B17:00.00  10:20.492,43900,2.947,Common Dolphin
5801403Y,1063  B17:00.00  10:27.866,43900,2.536,Common Dolphin
5801403Z,1063  B17:00.00  10:47.611,43900,2.761,Common Dolphin
58014040,1063  B17:00.00  10:50.313,43900,1.999,Common Dolphin
58014041,1063  B17:00.00  10:53.591,43900,1.186,Common Dolphin
58014042,1063  B17:00.00  10:57.009,43900,1.452,Common Dolphin
58014043,1063  B17:00.00  10:58.575,43900,1.401,Common Dolphin
58014044,1063  B17:00.00  11:01.683,43900,2.196,Common Dolphin
58014045,1063  B17:00.00  11:04.954,43900,1.042,Common Dolphin
58014046,1063  B17:00.00  11:06.902,43900,1.002,Common Dolphin
58014047,1063  B17:00.00  11:09.188,43900,1.579,Common Dolphin
58014048,1063  B17:00.00  11:10.831,43900,2.020,Common Dolphin
58014049,1063  B17:00.00  11:15.025,43900,1.256,Common Dolphin
5801404A,1063  B17:00.00  11:20.155,43900,1.384,Common Dolphin
5801404B,1063  B17:00.00  11:23.373,43900,0.960,Common Dolphin
5801404C,1063  B17:00.00  11:24.956,43900,0.809,Common Dolphin
5801404D,1063  B17:00.00  11:26.305,43900,0.764,Common Dolphin
5801404E,1063  B17:00.00  11:30.419,43900,1.286,Common Dolphin
5801404F,1063  B17:00.00  11:34.919,43900,1.271,Common Dolphin
5801404G,1063  B17:00.00  11:37.283,43900,1.476,Common Dolphin
5801404H,1063  B17:00.00  11:39.868,43900,0.341,Common Dolphin
5801404I,1063  B17:00.00  12:07.999,43900,2.419,Common Dolphin
5801404J,1063  B17:00.00  12:10.807,43900,0.776,Common Dolphin
5801404K,1063  B17:00.00  12:15.663,43900,1.277,Common Dolphin
5801404L,1063  B17:00.00  12:18.906,43900,1.845,Common Dolphin
5801404M,1063  B17:00.00  12:20.699,43900,1.554,Common Dolphin
5801404N,1063  B17:00.00  12:22.208,43900,2.674,Common Dolphin
5801404O,1063  B17:00.00  12:35.567,43900,1.554,Common Dolphin
5801404P,1063  B17:00.00  12:41.358,43900,1.994,Common Dolphin
5801404Q,1063  B17:00.00  12:43.226,43900,1.920,Common Dolphin
5801404R,1:58.130-2:51.168,60606,53.038,Common Dolphin
5801404S,2:51.178-3:44.226,60606,53.048,Common Dolphin
5801404T,3:44.226-4:36.363,60606,52.136,Common Dolphin
5801404U,4:36.366-5:28.506,60606,52.139,Common Dolphin
5801404V,5:28.506-6:20.646,60606,52.139,Common Dolphin
61030001,306  B0:23.700  9.569,81920,1.891,Common Dolphin
61030002,306  B0:23.700  12.390,81920,1.891,Common Dolphin
61030003,306  B0:23.700  14.160,81920,1.891,Common Dolphin
61030004,306  B0:23.700  17.340,81920,1.891,Common Dolphin
61030005,306  B0:23.700  19.590,81920,1.891,Common Dolphin
61030006,306  B0:23.700  23.730,81920,1.891,Common Dolphin
61030007,316  B0:23.700  4.341,81920,1.891,Common Dolphin
61030008,316  B0:23.700  6.647,81920,1.891,Common Dolphin
61030009,316  B0:23.700  8.672,81920,1.891,Common Dolphin
6103000A,316  B0:23.700  13.230,81920,1.891,Common Dolphin
6103000B,316  B0:23.700  14.980,81920,1.891,Common Dolphin
6103000D,349  B0:23.700  2.172,81920,1.891,Common Dolphin
6103000E,349  B0:23.700  6.203,81920,1.891,Common Dolphin
63021006,387  B23.75  0.4437,81920,1.403,Common Dolphin
